calidris_pugnax	Calidris pugnax	Calidris	Scolopacidae	Charadriiformes	Aves	Chordata
melopsittacus_undulatus	Melopsittacus undulatus	Melopsittacus	Psittaculidae	Psittaciformes	Aves	Chordata
geospiza_fortis	Geospiza fortis	Geospiza	Thraupidae	Passeriformes	Aves	Chordata
ficedula_albicollis	Ficedula albicollis	Ficedula	Muscicapidae	Passeriformes	Aves	Chordata
poecilia_mexicana	Poecilia mexicana	Poecilia	Poeciliidae	Cyprinodontiformes	Actinopteri	Chordata
sinocyclocheilus_grahami	Sinocyclocheilus grahami	Sinocyclocheilus	Cyprinidae	Cypriniformes	Actinopteri	Chordata
sparus_aurata	Sparus aurata	Sparus	Sparidae	Spariformes	Actinopteri	Chordata
chinchilla_lanigera	Chinchilla lanigera	Chinchilla	Chinchillidae	Rodentia	Mammalia	Chordata
mus_caroli	Mus caroli	Mus	Muridae	Rodentia	Mammalia	Chordata
anas_platyrhynchos	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	Chordata
camarhynchus_parvulus	Camarhynchus parvulus	Camarhynchus	Thraupidae	Passeriformes	Aves	Chordata
caenorhabditis_elegans	Caenorhabditis elegans	Caenorhabditis	Rhabditidae	Rhabditida	Chromadorea	Nematoda
strix_occidentalis_caurina	Strix occidentalis caurina	Strix	Strigidae	Strigiformes	Aves	Chordata
petromyzon_marinus	Petromyzon marinus	Petromyzon	Petromyzontidae	Petromyzontiformes	Hyperoartia	Chordata
fundulus_heteroclitus	Fundulus heteroclitus	Fundulus	Fundulidae	Cyprinodontiformes	Actinopteri	Chordata
hippocampus_comes	Hippocampus comes	Hippocampus	Syngnathidae	Syngnathiformes	Actinopteri	Chordata
lates_calcarifer	Lates calcarifer	Lates	Centropomidae	NA	Actinopteri	Chordata
naja_naja	Naja naja	Naja	Elapidae	Squamata	Lepidosauria	Chordata
periophthalmus_magnuspinnatus	Periophthalmus magnuspinnatus	Periophthalmus	Gobiidae	Gobiiformes	Actinopteri	Chordata
otus_sunia	Otus sunia	Otus	Strigidae	Strigiformes	Aves	Chordata
ciona_intestinalis	Ciona intestinalis	Ciona	Cionidae	Enterogona	Ascidiacea	Chordata
canis_lupus_dingo	Canis lupus dingo	Canis	Canidae	Carnivora	Mammalia	Chordata
struthio_camelus_australis	Struthio camelus australis	Struthio	Struthionidae	Struthioniformes	Aves	Chordata
phasianus_colchicus	Phasianus colchicus	Phasianus	Phasianidae	Galliformes	Aves	Chordata
monodelphis_domestica	Monodelphis domestica	Monodelphis	Didelphidae	Didelphimorphia	Mammalia	Chordata
sphenodon_punctatus	Sphenodon punctatus	Sphenodon	Sphenodontidae	Sphenodontia	Lepidosauria	Chordata
cottoperca_gobio	Cottoperca gobio	Cottoperca	Bovichtidae	Perciformes	Actinopteri	Chordata
haplochromis_burtoni	Haplochromis burtoni	Haplochromis	Cichlidae	Cichliformes	Actinopteri	Chordata
pan_paniscus	Pan paniscus	Pan	Hominidae	Primates	Mammalia	Chordata
bos_taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata
oryzias_latipes	Oryzias latipes	Oryzias	Adrianichthyidae	Beloniformes	Actinopteri	Chordata
rhinolophus_ferrumequinum	Rhinolophus ferrumequinum	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata
sinocyclocheilus_anshuiensis	Sinocyclocheilus anshuiensis	Sinocyclocheilus	Cyprinidae	Cypriniformes	Actinopteri	Chordata
gasterosteus_aculeatus	Gasterosteus aculeatus	Gasterosteus	Gasterosteidae	Perciformes	Actinopteri	Chordata
vicugna_pacos	Vicugna pacos	Vicugna	Camelidae	Artiodactyla	Mammalia	Chordata
denticeps_clupeoides	Denticeps clupeoides	Denticeps	Denticipitidae	Clupeiformes	Actinopteri	Chordata
cercocebus_atys	Cercocebus atys	Cercocebus	Cercopithecidae	Primates	Mammalia	Chordata
ciona_savignyi	Ciona savignyi	Ciona	Cionidae	Enterogona	Ascidiacea	Chordata
spermophilus_dauricus	Spermophilus dauricus	Spermophilus	Sciuridae	Rodentia	Mammalia	Chordata
macaca_fascicularis	Macaca fascicularis	Macaca	Cercopithecidae	Primates	Mammalia	Chordata
danio_rerio	Danio rerio	Danio	Cyprinidae	Cypriniformes	Actinopteri	Chordata
oryctolagus_cuniculus	Oryctolagus cuniculus	Oryctolagus	Leporidae	Lagomorpha	Mammalia	Chordata
